Lexical simplification	Syntactic Simplification
 قانون کے دائرے میں رہنے کے لئے امیدواروں کا انٹر ویو لینا ہی پڑتا ہے۔ 	 قانون میں رہنے کے لئے امیدواروں کا انٹر ویو لینا ہی پڑتا ہے۔ 
اصل انٹرو یو تو والدین کا ہوتا ہے۔	اصل انٹرو یو تو والدین کا ہوتا ہے
اور وہ ابھی ہونا باقی ہے۔	اور وہ ہونا باقی ہے
آج صبح ہی پولس آئی اور انکوائری کر کے سڑک کے کنارے پتلے کپڑے میں لپٹے چھوٹا سہ بچہ (جس کو پیدا ہوئے وقت نہیں ہوا ) کو پولس اسٹیشن لے جا کر انسپکٹر کے سامنے حاضر کر دیا۔	پولس سڑک کے کنارے چھوٹا سہ بچے(جس کو پیدا ہوئے وقت نہیں ہوا ) کو پولس اسٹیشن لے جا کر انسپکٹر کے سامنے حاضر کر دیا۔
 صاحب یہ بچہ سڑک کے کنارے پڑا ملا ہے۔	صاحب یہ بچہ ملا ہے۔
آس پاس سےپوچھا ہے؟	آس پاس سےپوچھا ہے؟
 یس سر یہ بچہ دیپا نام کی لڑکی کا ہے۔	یس سریہ بچہ دیپا کا ہے۔
بچے کے سینے پر سفید داغ ہے اور  بس۔بس۔خاموش ہو جاؤ تم جا سکتے ہو۔	بچے کے سینے پر سفید داغ ہے -  خاموش ہو جاؤ
انسپکٹر کا سر چکرا گیا۔ وہ کسی پاگل کی طرح ادھر ادھر دیکھنے لگا۔	انسپکٹر کا سر چکرا گیا اور وہ کسی پاگل کی طرح ادھر ادھر دیکھنے لگا۔
 اور پھر ایک لمحہ بعد سمبھل کر وہ شرٹ کا بٹن لگا رہا تھا تا کہ کوئی اسکے سینے کا سفید داغ نہ دیکھ لے۔ 	پھر وہ شرٹ کا بٹن بند کررہا تھا تا کہ کوئی اسکے سینے کا سفید داغ نہ دیکھ لے۔
معصوم بچہ جب ٹھنڈی روٹی کھا کر کھیل رہا تھا تو ماں کہتی بیٹا زیادہ کھیلوں نہیں ورنہ تجھے بھوک لگ جائے گی۔	 بچہ جب ٹھنڈی روٹی کھا کر کھیل رہا تھا تو ماں کہتی کھیلوں نہیں تجھے بھوک لگ جائے گی 
تو میں پھر روٹی کہاں سے لاؤں گی۔	پھر میں کہاں سے روٹی لاؤں گی۔
لیکن آج بچہ کا چہرہ خوشی سے کھلا ہو ا تھا وہ پیٹ بھر کھانا کھا کر خوب کیھل رہا تھا۔	لیکن آج بچہ خوش تھا وہ کھانا کھا کر خوب کیھل رہا تھا۔
ماں بھی اسے منا کرنے کےبجائے اس کی شرارتوں پر ہنس رہی تھی۔ 	ماں بھی اسے منا کرنے کے بجائے ہنس رہی تھی۔ 
بچہ اپنی ماں کو خوش دیکھ کر کہنے لگا۔	بچہ اپنی ماں کوکہنے لگا۔
ماں تو سچ کہتی تھی کہ سارے دن ایک جیسے نہیں رہتے۔ 	ماں تو سچ کہتی تھی کہ سارے دن ایک جیسے نہیں رہتے۔ 
ماں جب سے زلزلہ آیا ہے ہمارےمشکل دن ختم ہو گئے اب تو ہر ٹینٹ میں کھانا ملتا ہےاورمیں پورے دن کھاتا رہتا ہوں-	ماں جب سے زلزلہ آیا ہے ہمارے مشکل دن ختم ہو گئےاب تو ہر ٹینٹ میں کھانا ملتا ہے
وہ اب زندگی نہیں گزارنہ چاہتا تھا۔	وہ اب زندگی نہیں چاہتا تھا-
زندگی کی مشکلات حل کرتے کرتے وہ پریشان ہو چکا تھا۔	مشکلات حل کرتے کرتے وہ پریشان ہو چکا تھا 
اس لئے اپنی پریشانی سے بھری ہوی  زندگی  کو ختم کرنے کے لئے اس نے خودکشی کر لی۔  	اس لئےاس نے خودکشی کر لی۔ 
جیسے ہی اس نے اپنے آپ کو کنویں میں چھلانگ لگائی لوگ دوڑ پڑے اوراسے زندہ ٹھیک نکالنے میں کامیاب ہو گئے۔  	اس نےکنویں میں چھلانگ لگائی لوگ اسے زندہ نکالنے میں کامیاب ہو گئے۔
لیکن وہ زندہ رہ جانے پرافسوس کررہا تھا۔	لیکن وہ افسوس کررہا تھا۔
اسے ان لوگوں پر غصہ آ رہا تھا جنھوں نے اسے بچا یا تھا۔	اسے لوگوں پر غصہ آ رہا تھا -
لیکن لوگوں نے اسے زندگی سے پیار کرنا سکھایا زندگی سے مقابلہ کرنے اور طریقے سے جینے کا حوصلہ دیا۔ 	لیکن لوگوں نے اسے زندگی سے مقابلہ کرنے کا حوصلہ دیا۔
دوسرے دن سے وہ نئے حوصلے اور نئے ہمت کے ساتھ زندگی گزارنے لگا اسے زندگی سے پیار ہو گیا تھا۔ 	دوسرے دن سے وہ نئے حوصلے کے ساتھ زندگی گزارنے لگا اسے زندگی سے پیار ہو گیا تھا
اب وہ مرنا نہیں چاہتا تھا۔	اب وہ مرنا نہیں چاہتا تھا۔
لیکن کچھ دن بعد اسے ٹھوکر لگی وہ نیچے گرا اور وہ فوت ہو گیا-	لیکن کچھ دن بعد  ٹھوکر لگنے کی وجہ سے وہ فوت ہو گیا-
صبح سے ہی گھر کے سامنےٹینٹ لگا دیا گیا تھا۔	صبح سے ہی ٹینٹ لگا دیا گیا تھا
گھر میں بہت رونق تھی۔	گھر میں رونق تھی
آج شام اُسی بیٹے نے اپنے مرے ہوئے باپ کوثواب پہنچانےکے لئےبہت زیادہ لوگوں کو کھانے کی دعوت پر بلایا تھا۔	اُسی بیٹے نے اپنے مرے ہوئے باپ کوثواب پہنچانےکے لئے لوگوں کو کھانے پر بلایا تھا
جس نے مرے ہوئے کو اپنی زندگی میں ہر  وقت کے کھانے کے لئے ترسایا تھا۔ 	جس نے باپ کو ہر  وقت کے کھانے کے لئے تر سایا تھا۔
ہسپتال میں ایک مریض اپنے ساتھی سے کہہ رہا تھا۔ 	ایک مریض اپنے ساتھی سے کہہ رہا تھا۔ 
میں جب سے اس ہسپتال میں داخل ہو ا ہوں۔	میں جب سے داخل ہو ا ہوں،
دیکھ رہا ہوں یہ ڈاکٹر صاحب اگرچہ رات میں ڈیوٹی پر نہیں ہوتے ہیں۔ 	 یہ ڈاکٹر رات میں ڈیوٹی پر نہیں ہوتے ہیں۔
لیکن کبھی کبھی مریضوں کی طبیعت پوچھنے کے لئے چکر, دورے پر آ جاتے ہیں۔ 	لیکن کبھی کبھی مریضوں کی طبیعت پوچھنے آجاتے ہیں۔ 
یہ بیچارے بڑے ذمہ دار اور نیک دل انسان ہیں۔	یہ ذمہ دار اور نیک دل انسان ہیں۔
انہیں مریضوں سے بڑی ہمدردی ہے۔	انہیں مریضوں سے بڑی ہمدردی ہے۔
ورنہ رات میں مریضوں کی فکر کو ن کرتا ہے۔	ورنہ رات میں مریضوں کی کو ن فکر کرتا ہے-
پھر وہ نرس سے پوچھنے لگا۔	وہ نرس سے پوچھنے لگا۔
کیا ڈاکٹر صاحب کا یہی روز کا کام ہے؟	کیا ڈاکٹر صاحب روز  آتے ہے؟
نرس نے لاپرواہی سے جواب دیا۔	نرس نےجواب دیا
جی نہیں ڈاکٹر صاحب ہسپتال میں تھوڑے وقت کے لئے ضرور آتے ہیں، لیکن۔۔ 	جی نہیں ڈاکٹر صاحب تھوڑے وقت کے لئے آتے ہیں، لیکن۔۔ 
لیکن کیا۔؟	لیکن کیا۔
نرس نے آنکھوں سے اشارہ کرتے ہوئے کہا۔	نرس نے اشارہ کرتے ہوئے کہا۔
لیکن ان راتوں میں جب یہ ڈاکٹر صاحبہ نوکری, کام پرہوتی ہیں۔	لیکن جب یہ ڈاکٹر صاحبہ نوکری پر ہوتی ہیں۔
 راہ پر رکھے لمپ نے کہا۔	 راہ پر رکھے لمپ نے کہا
میں بھٹکے ہوئے مسافروں کو راستہ دکھاتا ہوں میں سب سے بڑا ہوں۔	 میں سب سے بڑا ہوں کیونکہ میں بھٹکے ہوئے مسافروں کو راستہ دکھاتا ہوں۔
لوگوں کے گرو ہ میں رکھے چراغ نے کہا۔۔	لوگوں  میں رکھے چراغ نے کہا۔۔
لوگ میری روشنی میں بیٹھ کر اچھی اور نیک باتیں کرتے ہیں	لوگ میری روشنی میں بیٹھ کر اچھی باتیں کرتے ہیں
لوگ ایک دوسرے کو نیک راستے پر چلنے کی نصیحت کرتے ہے 	لوگ ایک دوسرے کو نیک راستے پر چلنے کی نصیحت کرتے ہے 
میں نہ رہوں تو یہ نیک کام نہ ہو پائے اس لئے میں بڑا ہوں۔	میں نہ رہوں تو نیک کام نہ ہو پائے اس لئے میں بڑا ہوں۔
مندر میں رکھے چراغ نے کہا۔	مندر(ہندوں کی عبادت  کرنے کی جگہ)  میں رکھے چراغ نے کہا۔
میں تو مندر میں رہتا ہوں اور بھگوان کو روشنی میں میں نے ہی رکھا ہے۔	میں تو بھگوان(ہندوں کا خدا) کو روشنی میں میں نے ہی رکھا ہے
ورنہ وہ تو کب کا اندھیروں میں ڈوب جاتا اس لئے میں تم سب سے بڑا ہوں۔	ورنہ وہ تواندھیروں میں ڈوب جاتا اس لئے میں تم سب سے بڑا ہوں۔
اتنے میں ایک ہلکا سا ہوا کا جھونکا آیا اور تینوں چراغوں کو بجھا کر چلا گیا۔	اتنے میں ہوا کا جھونکا آیا اور تینوں چراغوں کو بجھا کر چلا گیا۔
سفر میں وہ جیسے ہی رخ بدل کر بیٹھ گئی۔	وہ جیسے ہی روخ بدل کر بیٹھ گئی
میرے چہرے پر غصّہ کےاثرات آئے اور میں خاموش ہوگیا۔	مجھے غصّہ آیا اور میں خاموش ہوگیا۔
اور پھر دیر رات وہ رخ بدلنے پر افسوس کیا میں خاموش ہو جانے پر افسوس کیا۔	اور پھر اسنے روخ بدلنے پر افسوس کیا میں خاموش ہونے پر افسوس کیا۔
لیکن۔۔۔۔ صبح ہوتے ہوتے خاموشی کا سلسلہ ٹوٹا۔	 خاموشی کا سلسلہ ٹوٹا۔
اور ہنسی بلند ہونے لگی۔	ہنسی بلند ہونے لگے۔
اسی دوران مجھے احساس ہوا کہ میں پہلے سے زیادہ اُس سے محبت کرنے لگا ہوں۔	مجھے احساس ہوا کہ میں پہلے سے زیادہ اُس سے محبت کرنے لگا ہوں-
وہ بے حد غریب سات چھوٹے چھوٹے بچوں کا باپ تھا۔	وہ بے حد غریب چھوٹے چھوٹے بچوں کا باپ تھا
ہمیشہ دو وقت کی کھانے کے لئےکوشیش کرتا رہتا تھا ۔	ہمیشہ دو وقت کی کھانے کے لئے کوشیش کرتا رہتا تھا
لیکن اُسے ذہنی سکون تھا۔	لیکن اُسے ذہنی سکون تھا۔
وقت بدل گیا۔	وقت بدل گیا۔
اسکی غربت کے دن ختم ہوئے بچّے بڑھے ہو گئے۔	اسکی غربت کے دن ختم ہوئے، بچّے بڑھے ہو گئے
لیکن اب وہ ذہنی طور سے پریشان ہے کیونکہ اسکی زندگی کا سکون اسکےغیر ذمدار اور آوارہ بیٹوں نے لے لیا ہے ۔	لیکن اب پریشان ہے کیونکہ اس کا سکون اسکےغیر ذمدار بیٹوں نے لے لیا ہے 
ایک اسٹیشن پر وہ بس میں سوار ہوا تو دیکھا تمام سیٹیں پُر تھیں۔	وہ بس میں سوار ہوا تو دیکھا تمام سیٹیں پُر تھیں
صرف ایک خاتون کے ساتھ والی سیٹ خالی تھی۔	صرف ایک خاتون کے ساتھ والی سیٹ خالی تھی
وہ وہاں بیٹھنا ہی چاہ رہا تھا۔	وہ وہاں بیٹھنا ہی چاہ رہا تھا 
کہ خاتون نے کہا۔	کہ خاتون نے کہا۔
میں آپ کو یہاں بیٹھنے نہیں دوں گی۔	میں آپ کو یہاں نہیں بیٹھنے دوں گی۔
میرے ساتھ خاتون ہی بیٹھے گی۔	میرے ساتھ خاتون ہی بیٹھے گی۔
ایک آواز آئی۔۔۔اگر ایسا ہی تھا تواپنی سیٹ بک کر وا لیتی۔	ایک آواز آئی کہ اپنی سیٹ بک کر وا لیتی۔
کسی دوسرے نے کہا۔جب اپنے ساتھ خاتون ہی بیٹھانا ضروری ہے۔ 	کسی دوسرے نے کہا کہ جب خاتون ہی بیٹھانا ضروری ہے 
تو سفرمیں اپنے ساتھ ایک خاتون رکھتی۔	اپنے ساتھ ایک خاتون رکھتی۔
ابھی یہ باتیں ہو ہی رہی تھیں۔	یہ باتیں ہو ہی رہی تھیں
کہ ایک خاتون جو پچھلی سیٹ پر بیٹھی تھی بول پڑی۔	ایک خاتون بول پڑی -
یہاں خالی جگہ تو نہیں ہے۔	یہاں جگہ تو نہیں ہے
لیکن پھر بھی آپ میرے ساتھ آ جائیے میں جگہ بنا لونگی-	لیکن پھر بھی آپ آ جائیے میں جگہ بنا لونگی
وہ بہت غریب تھا۔	وہ بہت غریب تھا
لیکن ایک دن اس کی قسمت کا ستارہ چمکا اور اسے لاٹری مل گئی۔	لیکن ایک دن اسے لاٹری مل گئی
دو لاکھ روپیہ ہاتھ آیا۔	دو لاکھ روپیہ ہاتھ آیا
تو اس نے اپنے اور گھر کے لوگوں کے بارے میں سوچنا شروع کیا -	تو اس نے اپنے اور گھر کے بارے میں سوچنا شروع کیا -
  ہزاروں خواہشیں پیدا ہوی اور پھر ان خواہشوں کےدرمیان اسے احساس ہوا کہ وہ تو اب پہلے سے بھی زیادہ غریب ہوگیا ہے ۔	  ہزاروں خواہشیں پیدا ہوی، پھر اسے احساس ہوا کہ وہ تو پہلے سے زیادہ غریب ہوگیا ہے  
وہ اپنی ڈاڑھی میں ہاتھ پھیرتے ہوئے کہہ رہا تھا۔	وہ کہہ رہا تھا۔
میں جانتا ہوں اسلم ساجد تمہارا اچھا دوست ہے۔	اسلم ساجد تمہارا اچھا دوست ہے
لیکن وہ مجھے بلکل نہیں اچھا لگتا۔	لیکن وہ مجھے اچھا نہیں لگتا -
وہ نہایت بد تمیز، جھوٹا، اپنا فائدہ دیکھنے والا اور دوکھے باز ہے۔	وہ نہایت بد تمیز ہے 
ہمیشہ دوسروں کی برائیاں کرتا ہے۔	ہمیشہ دوسروں کی برائیاں کرتا ہے
کیا وہ نہیں جانتا کہ کسی کی غیرموجودگی میں اسکی برائیاں بیان کرنا اپنے بھائی کا کچا گوشت کھانے کے برابرہے۔	کیا وہ نہیں جانتا کہ کسی کی برائیاں بیان کرنا اپنے بھائی کا کچا گوشت کھانے کے برابرہے
مجھے دیکھو میں تو کبھی کسی کی برائی نہیں کرتا۔	میں تو کبھی کسی کی برائی نہیں کرتا۔
 کچھ ہی وقت میں آپ کا کاروبار کافی بڑھ گیا ہے۔	آپ کا کاروبار کافی بڑھ گیا ہے
جی ہاں! یہ اﷲ تعالیٰ کی مہربانی اورآپ کی دعاؤں کا نتیجہ ہے۔ 	یہ اﷲ تعالیٰ کا فضل اور آپ کی دعاؤں کا نتیجہ ہے۔
لیکن اب آپ کو حج بیت اﷲ کے لئے چلے جانا چائیے۔	لیکن اب آپ کو حج بیت اﷲ(الله کے گھر) پر چلے جانا چائیے۔
بات یہ ہے کہ میرے کاروبار میں مجھے ہر وقت جھوٹ بولنا پڑتا ہے۔	بات یہ ہے کہ کاروبار میں مجھے ہر وقت جھوٹ بولنا پڑتا ہے۔
حج سے واپسی کے بعد میں جھوٹ نہیں بول سکوں گا اور میرا کاروباربند ہو جائے گا۔	حج کے بعد میں جھوٹ نہیں بول سکوں گا اور پھر میرا کاروبار بند ہو جائے گا۔
اس لئے میں تھوڑا وقت چاہتا ہوں۔	 میں تھوڑا وقت چاہتا ہوں۔
وہ اجنبی مجھے ٹرین میں ملا تھا۔ 	وہ اجنبی مجھے ٹرین میں ملا تھا۔ 
بات چیت کا آغاز اسی نے کیا تھا۔	بات کا آغاز اسی نے کیا تھا۔
تھوڑی دیر بات چیت کے بعد وہ میری سیٹھ پر آگیا۔	تھوڑی دیر بعد وہ میری  سیٹھ پر آگیا۔
اور رازدارانہ لہجہ میں کہنے لگا۔	اور آہستہ سےکہنے لگا۔
تم تم بہت خوبصورت ہو۔	تم بہت خوبصورت ہو۔
تم آگ اورپانی کا ملاپ ہو۔	تم آگ اورپانی کا ملاپ ہو۔
تم گل ِلالہ کی ہم شکل ہو	تم گل ِلالہ کا ہم شکل ہو
تم خوبصورتی کی مثال ہو ۔	تم خوبصورتی کی مثال ہو  
سنو میں سچ کہہ رہا ہوں!	 میں سچ کہہ رہا ہوں
میں نے اسے اسکی سیٹھ پر بٹھا دیا اور کہا۔۔	میں نے اسے بٹھا دیا اور کہا۔۔
اس سے بھی زیادہ سچ یہ ہے۔	زیادہ سچ یہ ہے
کہ جیسے ہی تمھارا اسٹیشن آئے گا۔	 جیسے ہی تمھارا اسٹیشن آئے گا
تم چپ چاپ اپنا سوٹ کیس لئے مجھے اکیلی چھوڑ کر ٹرین سے اتر جاؤ گے۔ 	تم مجھے اکیلی چھوڑ کر ٹرین سے اتر جاؤ گے۔
اور بہت سا رے لوگوں میں گم ہو جاؤ گے۔	اور  لوگوں میں گم ہو جاؤ گے۔
سنو میں سچ کہہ رہی ہوں نا۔	میں سچ کہہ رہی ہوں نا
وہ اداس ہو کر اپنے شوہر سے کہہ رہی تھی۔	وہ اپنے شوہر سے کہہ رہی تھی
پتہ نہیں ہمیں آخر کس کیے کی سزا مل رہی ہے۔	پتہ نہیں ہمیں کیوں سزا مل رہی ہے
آج ہم اپنے بیٹے سلیم اور بیٹے کی بیوی کے لئے بوجھ بن چکے ہیں۔	آج ہم اپنے بیٹے سلیم اور بیٹے کی بیوی کے لئے بوجھ بن چکے ہیں-
وہ ہمیں کمتر نظروں سے دیکھتے ہیں۔	وہ ہمیں کمتر نظروں سے دیکھتے ہیں
لمحہ لمحہ زندگی اُن کے احسانوں کی نظر ہو گئی ہے۔	ہر لمحہ زندگی اُن کے احسانوں کی نظر ہو گئی ہے
جی چاہتا ہے زمین پھٹ جائے اور ہم اندر جائیں آخر پڑوس میں اُس کا دوست رحمن بھی تو ہے۔	آخر پڑوس میں اُس کا دوست رحمن بھی تو ہے
اپنے والدین کو کتنا خوش رکھتا ہے۔	اپنے والدین کو کتنا خوش رکھتا ہے۔
اسکی بیوی اُن کی ہر خواہش کو پورا کرنا اپنی ذمداری سمجھتی ہے۔ 	اسکی بیوی اُن کی ہر خواہش کو پورا کرتی ہے۔ 
مجھے تو رحمن کی آدابِ فرز ندگی پر فخر ہوتا ہے۔	مجھے تو رحمن کی آدابِ پر فخر ہوتا ہے۔
کاش ہمارا بیٹا بھی رحمن کی طرح ہوتا۔	کاش ہمارا بیٹا بھی رحمن کی طرح ہوتا۔
بیگم شاید ہماری قسمت ہی ایسی ہے۔	بیگم شاید ہماری قسمت ہی ایسی ہے
کاش میں بھی کسی اچھے سرکاری محکمہ میں نوکری کرتا اور  فارغ  ہونے کے بعد ہمیں پینشن کے طور پر ہر مہینے  بڑی رقم ملتی تو شاید رحمن کی طرح سلیم بھی ہمیں خوش رکھتا۔  	کاش میں بھی سرکاری محکمہ میں نوکری کرتا اور ہمیں ہر مہینے  بڑی رقم ملتی تو شاید سلیم بھی ہمیں خوش رکھتا۔   
پچیس سال پہلے وہ گاؤں سے شہر آیا تھا۔	 وہ گاؤں سے شہر آیا تھا
یہاں اُس نے دوکھا سے خوب دولت جمع کی پھر اُس نے اپنے گاؤں واپس جانے کا یہ سوچ کر فیصلہ کر لیا۔ 	یہاں اُس نے دوکھے سے خوب دولت جمع کی،  پھر اُس نے اپنے گاؤں واپس جانے کا یہ سوچ کر فیصلہ کر لیا 
کہ وہاں وہ اونچی عمارت بنا کے آرام و سہولیات  کی زندگی گزارے گا۔	کہ وہاں اونچی عمارت بنا کے آرام  کی زندگی گزارے گا۔
وہ گاؤں کا سب سے بڑا آدمی کہلائے گا۔	وہ گاؤں کا سب سے بڑا آدمی کہلائے گا۔
گاؤں کے لوگ اُسکی عزت کریں گے۔	گاؤں کے لوگ اُسکی عزت کریں گے۔
گاؤں واپس آیا تو اسکے ساتھ دوکھہ, چالاکی اور بے ایمانی جیسی برائیاں بھی آیئں۔	گاؤں واپس آیا تو اسکے ساتھ دوکھہ ، بے ایمانی جیسی برائیاں بھی آیئں-
لیکن وہاں اُس نے جب لوگوں کے پاس ایمانداری، سچائی، اصول پسندی، وعدہ کا پاس رکھنے والے، وفاداری اور ذمداری جیسی قیمتی دولت دیکھی۔	وہاں اُس نے جب لوگوں کے پاس ایمانداری، سچائی جیسی دولت دیکھی
تودوکھے سے کمائی ہوئی دولت کے باوجود وہ اپنے آپ کو آئینے جیسے صاف ستھرا اور اچھا دل رکھنے والے لوگوں کے درمیان چھوٹا محسوس کرنے لگا۔	تو دولت کے باوجود وہ اپنے آپ کو اچھا دل رکھنے والے لوگوں کے درمیان چھوٹا محسوس کرنے لگا۔
اسکول میں بچوں کے داخلے نہیں ہو رہے تھے۔	اسکول میں بچوں کے داخلے نہیں ہو رہے تھے
اس لئے اسکول کے اساتذہ بچوں کا داخلہ کروانے آس پاس کے علاقوں میں نکل پڑے۔	اس لئےاساتذہ بچوں کا داخلہ کروانے نکل پڑے۔
والدین و سرپرست حضرات سے اپنے بچوں کو قومی زبان میں تعلیم دلوانے کی پیش کش کرنے لگے۔	والدین  سے اپنے بچوں کو قومی زبان میں تعلیم دلوانے کی پیش کش کرنے لگے
اس دوران میں انھوں نے  مختلف وجوہات بھی پیش کیں۔	 انھوں نے مختلف وجوہات بھی پیش کیں۔
اس کےعلاوہ اپنی اسکول کی تعریف میں زمین آسمان ایک کردیئے۔	اس کےعلاوہ اپنی اسکول کی تعریف کردیئے۔
والدین اُن کی باتیں غور سے سنتے رہے پھر ایک بچہ کے باپ نےاُن سے پوچھا۔	 ایک بچہ کے باپ نے اُن سے پوچھا۔
اساتذہ صاحبان۔۔ ابھی آپ نے باتوں باتوں میں اپنی اسکول کو شہر کا سب سے اچھا  اسکول قرار دیا۔	اساتذہ صاحبان۔۔ ابھی آپ نے اپنی اسکول کو شہر کا سب سے اچھا  اسکول قرار دیا
اس لئے ضرور آپ سب کے بچّے بھی آپ ہی کے اسکول میں تعلیم حاصل کر رہے ہوں گے۔	اس لئے ضرور آپ کے بچّے بھی آپ کے اسکول میں تعلیم حاصل کر رہے ہوں گے۔
تمام اساتذہ خاموش تھے اور اُن کے سر شرمندگی کے وزن سے جھکے ہوئے تھے۔	تمام اساتذہ  کے سر شرمندگی سے جھکے ہوئے تھے
کیونکہ اُن سب کے بچے قومی زبان میں تعلیم حاصل کرنے کی بجائے انگلش میڈیم اسکولوں میں تعلیم حاصل کر رہے تھے۔!!	کیونکہ اُن سب کے بچے انگلش میڈیم اسکولوں میں تعلیم حاصل کر رہے تھے۔!!
وہ شاپنگ کر کے جب اپنے گھرآئی۔	وہ شاپنگ کر کے گھر آئی 
تو بہت اداس تھی ۔	تو بہت اداس تھی
سامان رکھ کر وہ فوراً ڈریسنگ ٹیبل کے پاس آئی اور اپنے آپ کودیکھا۔	وہ فوراً ڈریسنگ ٹیبل کے پاس آئی
میک ا پ دوبارہ کیا۔	میک ا پ دوبارہ کیا۔
بالوں کو دوبارہ بنایا۔	بال دوبارہ بنایے۔
آج اُسے اس بات کا بے حد افسوس تھا۔	آج اُسے اس بات کا افسوس تھا
کہ پہلی بار کسی نوجوان نے اسکی کوئی تعریف نہیں کی تھی-	کہ پہلی بار کسی نے اسکی تعریف نہیں کی-
مالک بہت خوش تھا۔	مالک بہت خوش تھا
کہ اُسے کم تنخواہ پر ایک فرمانبردار فل ٹائم کار ڈرائیور مل گیا تھا۔	کہ اُسے کم تنخواہ پر ایک فرمانبردار ڈرائیور مل گیا تھا۔
مالک کی بیوی بھی بہت خوش تھی۔	مالک کی بیوی بھی خوش تھی
کہ ڈرائیور ایک خوبصورت نوجوان تھا۔	کہ ڈرائیور ایک خوبصورت نوجوان تھا
جو مالک کو آفس  چھوڑنے کے بعد سارا وقت بنگلہ پر ہی گزارتا تھا۔	جو مالک کو آفس  چھوڑنے کے بعد بنگلہ پر ہی رہتا تھا۔
مالک کی طرف سے ملنے والی تنخواہ تو ڈرائیور کی اپنے  جیب خرچ کے لئے کافی نہیں ہوتی تھی۔	مالک سے ملنے والی تنخواہ تو ڈرائیور کے لئے کافی نہیں ہوتی تھی۔
اسکے گھر کا خرچ تو مالک کی بیوی ہی پورا کرتی تھی۔	اسکے گھر کا خرچ تو مالک کی بیوی پورا کرتی تھی
اس لئے ڈرائیور کی بیوی سب سے زیادہ خوش تھی۔	اس لئے ڈرائیور کی بیوی زیادہ خوش تھی
کہ اسکی مہربانیوں کی وجہ سےاسکا گھر اچھا چل رہا تھا-	کہ اسکی مہربانیوں کی وجہ سے اسکا گھر چل رہا تھا-
وہ روزانہ ہی فٹ پاتھ پر تاش کے پتوں کو پھیلائے بیٹھتا تھا۔	وہ فٹ پاتھ پر تاش کے پتوں کو پھیلائے بیٹھتا تھا۔
جو کوئی شخص اس کے پاس آتا اور اپنی قسمت کا حال جاننا چاہتا تو وہ پنجرے کا دروازہ کھول دیتا۔	جو کوئی شخص اپنی قسمت جاننا چاہتا تو وہ پنجرے کا دروازہ کھول دیتا۔
طوطا پنجرہ سے نکل کر ایک تاش کا پتہ اپنی چونچ میں پکڑ کر اسے دے دیتا۔	طوطا نکل کر ایک تاش کا پتہ اپنی چونچ میں پکڑ کر اسے دے دیتا۔
جیسے آنے والے ہر شخص کی قسمت سے وہ با خبر  تھا۔	جیسے ہر شخص کی قسمت سے وہ با خبر  تھا۔
ایک دن طوطا کسی کی  قسمت کا حال بتانے کے لئے پنجر ہ سے باہر نکلا۔	ایک دن طوطا کسی کی  قسمت کا حال بتانے کے لئے باہر نکلا۔
اتنے میں ایک چیل اوپر سے اڑتی ہوئی آئی اور طوطے کو اپنی چونچ میں دبا کر فورا سے اُڑ گئی۔	اتنے میں ایک چیل آئی اور طوطے کو اپنی چونچ میں دبا کراُڑ گئی
فقیرکی جھولی میں روٹی کے چند ٹکڑے آتے ہی اسکے چہرے پر زندگی کے آثار ظاہر ہو گئے۔	فقیر کی جھولی میں روٹی کے چند ٹکڑے آتے ہی اسکے چہرے پر زندگی کے آثار ظاہرہو گئے
وہ میدان میں لگے میلے کی بھیڑ کو چیرتا ہوا خوشی سے اپنے گھر بچوں کی پیٹ کی آگ بجھانے کے لئے نکل پڑا۔	وہ خوشی سے اپنے گھر بچوں کی بھوک مٹھانے کے لئے نکل پڑا۔
گھرآنے پر جب اُس نے جھولی میں اپنے روٹی کے چند ٹکڑے تلاش کئے تو اُسے بہت مایوسی ہوئی۔	گھرآنے پر جب اُس نے جھولی میں اپنے روٹی تلاش کئے تو اُسے بہت مایوسی ہوئی۔
روٹی کے ٹکڑےجھولی میں نہیں تھے۔	روٹی جھولی میں نہیں تھے
اُس نے اپنے بچوں کو بھوکا سلا دیا اور خود بھی یہ سوچ کر تسلی کیئ-	اُس نے اپنے بچوں کو بھوکا سلا دیا اور خود یہ سوچ کر تسلی کیئ-
کہ جھولی میں میرا نہیں بلکہ مجھ سے بھی زیادہ بھوکے شخص کا رزق تھا۔	کہ جھولی میں مجھ سے بھی زیادہ بھوکے شخص کا رزق تھا-
جس نے میرے قریب سے گزر کر حاصل کر لیا۔	جس نے میرے قریب سے گزر کر حاصل کر لیا۔
پروفیسر نے اپنی کلاس کے دوران گریجویشن کر رہی لڑکیوں سے پوچھا۔	پروفیسر نے کلاس میں لڑکیوں سے پوچھا۔
ذرا مجھے بتائیے کہ اس ہال میں بیٹھی کتنی لڑکیوں کے لڑکے دوست ہیں۔	ذرا مجھے بتائیے کہ کتنی لڑکیوں کے لڑکا دوست ہیں۔
یہ سن کر ہال میں بیٹھی لڑکیاں خوشی خوشی کھڑی ہو گئیں اور اکیلی بیٹھی خاموش اس لڑکی کو  کم تر نظروں سے دیکھ کر قہقہے لگانے لگیں۔	یہ سن کر لڑکیاں خوشی سےکھڑی ہو گئیں اور اکیلی بیٹھی لڑکی کو دیکھ کرہںسننےلگیں۔
